,標準症狀,次數,占比
0,咳嗽,1329,0.089
1,痰量多,1060,0.071
2,脈部位浮,921,0.0617
3,舌苔顏色白,823,0.0551
4,舌體顏色深紅色,818,0.0548
5,舌體顏色紅色,685,0.0459
6,鼻塞,589,0.0395
7,脈速度快,583,0.0391
8,舌苔厚度薄,525,0.0352
9,鼻流涕,490,0.0328
10,喉痛,474,0.0318
11,脈寬度細,474,0.0318
12,口乾,402,0.0269
13,發熱,343,0.023
14,頭痛,302,0.0202
15,脈力度弱,299,0.02
16,脈長度長,211,0.0141
17,咳痰,207,0.0139
18,難眠,185,0.0124
19,頭暈,171,0.0115
20,喉癢,140,0.0094
21,脈利度滑,128,0.0086
22,脈部位沉,122,0.0082
23,咽喉卡痰,119,0.008
24,舌體顏色淡白色,119,0.008
25,口不乾,114,0.0076
26,咳時無痰,111,0.0074
27,舌體顏色淡紅色,107,0.0072
28,脈緊度緊,102,0.0068
29,喉乾,96,0.0064
30,噴嚏,95,0.0064
31,痰色黃,90,0.006
32,腰酸,89,0.006
33,食欲低落,86,0.0058
34,痰色白,84,0.0056
35,聲啞,81,0.0054
36,全身痛,76,0.0051
37,痰難咳出,72,0.0048
38,胸悶,71,0.0048
39,舌苔顏色黃,68,0.0046
40,腹脹,68,0.0046
41,背酸,65,0.0044
42,大便次多,63,0.0042
43,痰質濃,63,0.0042
44,呼吸急促,62,0.0042
45,夜咳,53,0.0036
46,涕色黃,52,0.0035
47,大便質硬,50,0.0033
48,畏寒,49,0.0033
49,胸痛,47,0.0031
50,舌體形體齒痕,47,0.0031
51,月經痛,47,0.0031
52,涕色白,44,0.0029
53,情緒神疲,43,0.0029
54,涕色清,43,0.0029
55,痰量少,43,0.0029
56,目眩,41,0.0027
57,大便次少,41,0.0027
58,脈緊度散,41,0.0027
59,多夢,41,0.0027
60,嘔吐,40,0.0027
61,脈速度慢,39,0.0026
62,目花,39,0.0026
63,腹痛,39,0.0026
64,乳房脹,38,0.0025
65,目乾,33,0.0022
66,目癢,33,0.0022
67,易醒,33,0.0022
68,喉腫,31,0.0021
69,月經色紅,31,0.0021
70,白帶量多,31,0.0021
71,口渴,29,0.0019
72,舌苔形體部分剝落,29,0.0019
73,微咳,28,0.0019
74,四肢無力,28,0.0019
75,腰痛,27,0.0018
76,舌體形體點刺,27,0.0018
77,舌尖顏色紅,26,0.0017
78,小腹脹,26,0.0017
79,頸項僵,24,0.0016
80,口苦,24,0.0016
81,目溢,23,0.0015
82,舌苔質地黏膩,23,0.0015
83,全身浮腫,23,0.0015
84,背痛,23,0.0015
85,大便不暢,23,0.0015
86,泛酸,23,0.0015
87,自汗,23,0.0015
88,情緒心慌,23,0.0015
89,小便次多,22,0.0015
90,陰道癢,22,0.0015
91,情緒煩躁,22,0.0015
92,呼吸痰鳴,21,0.0014
93,胃痛,20,0.0013
94,心悸,19,0.0013
95,嗜睡,17,0.0011
96,口臭,17,0.0011
97,舌苔形狀花剝,17,0.0011
98,耳鳴,16,0.0011
99,舌苔濕度乾,16,0.0011
100,痰質稀,16,0.0011
