,標準症狀,次數,占比
0,痰量多,694,0.083
1,舌苔顏色白,693,0.0829
2,咳嗽,642,0.0768
3,情緒神疲,588,0.0703
4,舌體顏色深紅色,560,0.067
5,脈部位浮,515,0.0616
6,鼻流涕,494,0.0591
7,鼻塞,466,0.0557
8,喉癢,422,0.0505
9,口乾,417,0.0499
10,夜咳,327,0.0391
11,頭痛,228,0.0273
12,脈速度快,197,0.0236
13,喉痛,185,0.0221
14,脈長度長,184,0.022
15,目花,163,0.0195
16,舌苔厚度薄,95,0.0114
17,舌體顏色紅色,79,0.0094
18,頭暈,78,0.0093
19,發熱,74,0.0088
20,舌體顏色淡紅色,65,0.0078
21,脈寬度細,61,0.0073
22,舌體顏色淡白色,61,0.0073
23,面色暗,52,0.0062
24,咽阻,48,0.0057
25,咽喉卡痰,47,0.0056
26,呼吸急促,46,0.0055
27,全身浮腫,45,0.0054
28,痰色黃,42,0.005
29,目乾,41,0.0049
30,皮膚癢,40,0.0048
31,難眠,39,0.0047
32,脈力度弱,37,0.0044
33,目溢,34,0.0041
34,聲啞,31,0.0037
35,口苦,31,0.0037
36,目癢,30,0.0036
37,大便質稀,29,0.0035
38,舌苔質地黏膩,27,0.0032
39,胸悶,26,0.0031
40,全身痛,25,0.003
41,多夢,23,0.0028
42,舌苔濕度滑,23,0.0028
43,脈緊度散,22,0.0026
44,噴嚏,22,0.0026
45,脈速度慢,22,0.0026
46,腹脹,21,0.0025
47,泛酸,19,0.0023
48,目眩,19,0.0023
49,食欲低落,18,0.0022
50,意識健忘,18,0.0022
51,口臭,17,0.002
52,痰色白,16,0.0019
53,心悸,16,0.0019
54,背酸,15,0.0018
55,畏寒,14,0.0017
56,咳時無痰,14,0.0017
57,脈利度滑,14,0.0017
58,腹痛,13,0.0016
59,自汗,13,0.0016
60,咳痰,12,0.0014
61,鼻癢,12,0.0014
62,脈緊度緊,11,0.0013
63,四肢無力,11,0.0013
64,口渴,10,0.0012
65,腰酸,9,0.0011
