,標準症狀,次數,占比
0,呼吸急促,166,0.0826
1,舌苔顏色白,120,0.0597
2,咳嗽,112,0.0557
3,痰量多,95,0.0473
4,舌體顏色深紅色,79,0.0393
5,舌體顏色紅色,70,0.0348
6,舌苔厚度薄,68,0.0338
7,脈部位浮,61,0.0303
8,脈速度快,51,0.0254
9,鼻流涕,47,0.0234
10,脈長度長,45,0.0224
11,口乾,44,0.0219
12,脈寬度細,42,0.0209
13,舌體顏色淡白色,40,0.0199
14,胸悶,39,0.0194
15,舌體顏色淡紅色,38,0.0189
16,脈利度滑,34,0.0169
17,脈緊度緊,34,0.0169
18,頭痛,33,0.0164
19,脈力度弱,32,0.0159
20,脈部位沉,30,0.0149
21,鼻塞,29,0.0144
22,舌體形體齒痕,26,0.0129
23,頭暈,23,0.0114
24,呼吸哮鳴,23,0.0114
25,全身浮腫,23,0.0114
26,發熱,21,0.0104
27,脈緊度散,21,0.0104
28,痰色白,20,0.01
29,難眠,19,0.0095
30,咳喘,18,0.009
31,腹脹,17,0.0085
32,情緒神疲,17,0.0085
33,舌苔顏色黃,16,0.008
34,噴嚏,16,0.008
35,呼吸不暢,16,0.008
36,心悸,15,0.0075
37,夜咳,12,0.006
38,喉癢,12,0.006
39,面色紅,12,0.006
40,脈速度慢,11,0.0055
41,咳痰,10,0.005
42,全身痛,10,0.005
43,畏寒,10,0.005
44,自汗,10,0.005
45,大便次少,10,0.005
46,目癢,10,0.005
47,四肢無力,10,0.005
48,口苦,9,0.0045
49,背酸,9,0.0045
50,食欲低落,9,0.0045
51,小便次多,9,0.0045
52,喉痛,8,0.004
53,腹痛,8,0.004
54,痰色黃,8,0.004
55,嘔吐,8,0.004
56,痰難咳出,8,0.004
57,腰酸,7,0.0035
58,舌苔形狀花剝,7,0.0035
59,喉腫,7,0.0035
60,易醒,7,0.0035
61,目溢,7,0.0035
62,鼻癢,6,0.003
63,舌體形體點刺,6,0.003
64,喉乾,6,0.003
65,脈力度大,6,0.003
66,咽喉卡痰,6,0.003
67,咳時無痰,5,0.0025
68,痰質濃,5,0.0025
69,胃悶,5,0.0025
70,夜時小便次多,5,0.0025
71,聲啞,5,0.0025
72,涕色清,5,0.0025
73,口不乾,5,0.0025
74,舌苔形體部分剝落,5,0.0025
75,目花,5,0.0025
76,大便次多,5,0.0025
77,痰量少,5,0.0025
78,腰痛,4,0.002
79,呼吸微弱,4,0.002
80,舌苔濕度乾,4,0.002
81,舌苔質地黏膩,4,0.002
82,泛酸,4,0.002
83,大便質硬,4,0.002
84,情緒煩躁,4,0.002
85,嗜睡,4,0.002
86,胸痛,4,0.002
87,小便量多,4,0.002
88,脈幅異常,4,0.002
89,舌苔厚度厚,4,0.002
90,多夢,4,0.002
91,手顫,4,0.002
92,皮膚癢,4,0.002
93,脈力度強,4,0.002
94,情緒心慌,4,0.002
95,大汗,4,0.002
96,惡熱,4,0.002
97,大便不暢,3,0.0015
98,肩痛,3,0.0015
99,舌體形體胖厚,3,0.0015
100,胃痛,3,0.0015
101,耳鳴,3,0.0015
102,下肢腫脹,3,0.0015
103,大便質稀,3,0.0015
