,標準症狀,次數,占比
0,咳嗽,387,0.0761
1,脈部位浮,364,0.0716
2,舌苔顏色白,345,0.0678
3,痰量多,265,0.0521
4,鼻流涕,264,0.0519
5,舌體顏色深紅色,234,0.046
6,脈速度快,211,0.0415
7,喉痛,203,0.0399
8,鼻塞,182,0.0358
9,舌體顏色紅色,137,0.0269
10,口乾,134,0.0264
11,舌苔厚度薄,127,0.025
12,頭痛,123,0.0242
13,頭暈,95,0.0187
14,噴嚏,84,0.0165
15,脈寬度細,81,0.0159
16,喉乾,79,0.0155
17,喉癢,75,0.0147
18,舌體顏色淡白色,70,0.0138
19,發熱,69,0.0136
20,舌體形體齒痕,64,0.0126
21,喉腫,63,0.0124
22,舌體顏色淡紅色,57,0.0112
23,脈長度長,55,0.0108
24,難眠,53,0.0104
25,脈緊度緊,52,0.0102
26,全身痛,49,0.0096
27,畏寒,48,0.0094
28,痰色黃,45,0.0088
29,脈部位沉,39,0.0077
30,咳時無痰,38,0.0075
31,咳痰,38,0.0075
32,涕色清,38,0.0075
33,脈力度弱,36,0.0071
34,脈利度滑,35,0.0069
35,胸悶,32,0.0063
36,目花,32,0.0063
37,痰色白,30,0.0059
38,咽喉卡痰,30,0.0059
39,背酸,29,0.0057
40,聲啞,28,0.0055
41,涕色黃,26,0.0051
42,口不乾,26,0.0051
43,舌苔形體部分剝落,23,0.0045
44,目乾,23,0.0045
45,情緒神疲,22,0.0043
46,食欲低落,22,0.0043
47,舌苔顏色黃,21,0.0041
48,脈速度慢,20,0.0039
49,微咳,19,0.0037
50,痰難咳出,18,0.0035
51,痰質濃,18,0.0035
52,頸項僵,18,0.0035
53,腹脹,17,0.0033
54,低熱,16,0.0031
55,目溢,16,0.0031
56,夜咳,15,0.0029
57,舌體形體點刺,15,0.0029
58,大便次少,14,0.0028
59,舌苔質地黏膩,14,0.0028
60,嘔吐,14,0.0028
61,頭重,13,0.0026
62,大便次多,13,0.0026
63,呼吸急促,12,0.0024
64,腹痛,12,0.0024
65,大便質硬,11,0.0022
66,舌尖顏色紅,11,0.0022
67,胸痛,10,0.002
68,目眩,10,0.002
69,涕色白,10,0.002
70,腰酸,10,0.002
71,脈緊度散,9,0.0018
72,耳鳴,9,0.0018
73,口苦,9,0.0018
74,目癢,9,0.0018
75,痰量少,9,0.0018
76,易醒,9,0.0018
77,大便質稀,8,0.0016
78,小便次多,8,0.0016
79,口渴,8,0.0016
80,泛酸,8,0.0016
81,多夢,8,0.0016
82,全身酸,8,0.0016
83,四肢無力,8,0.0016
84,月經痛,8,0.0016
85,涕質濃,7,0.0014
86,大便不暢,7,0.0014
87,四肢冷,7,0.0014
88,舌苔形狀花剝,7,0.0014
89,痰質稀,6,0.0012
90,口瘡,6,0.0012
91,鼻衄,6,0.0012
92,情緒心慌,6,0.0012
93,乳房脹,6,0.0012
