,標準症狀,次數,占比
0,鼻流涕,398,0.087
1,鼻塞,297,0.0649
2,舌苔顏色白,260,0.0568
3,舌體顏色深紅色,245,0.0535
4,舌體顏色紅色,242,0.0529
5,脈部位浮,227,0.0496
6,舌苔厚度薄,193,0.0422
7,噴嚏,172,0.0376
8,脈速度快,164,0.0358
9,發熱,154,0.0337
10,脈寬度細,149,0.0326
11,脈長度長,138,0.0302
12,咳嗽,110,0.024
13,舌體顏色淡白色,87,0.019
14,頭痛,83,0.0181
15,口乾,82,0.0179
16,舌體顏色淡紅色,77,0.0168
17,痰量多,76,0.0166
18,目紅,64,0.014
19,鼻癢,64,0.014
20,脈部位沉,56,0.0122
21,頭暈,51,0.0111
22,舌體形體胖厚,45,0.0098
23,脈利度滑,43,0.0094
24,脈緊度緊,41,0.009
25,背酸,41,0.009
26,舌體形體齒痕,41,0.009
27,自汗,40,0.0087
28,喉痛,39,0.0085
29,胸悶,35,0.0076
30,畏寒,35,0.0076
31,涕色清,35,0.0076
32,難眠,32,0.007
33,喉癢,29,0.0063
34,目癢,27,0.0059
35,脈速度慢,27,0.0059
36,呼吸急促,27,0.0059
37,脈力度弱,26,0.0057
38,腹脹,25,0.0055
39,脈緊度散,24,0.0052
40,涕色黃,23,0.005
41,心悸,23,0.005
42,咽喉卡痰,22,0.0048
43,打鼾,22,0.0048
44,舌苔質地黏膩,20,0.0044
45,腹痛,19,0.0042
46,大便次少,16,0.0035
47,全身浮腫,16,0.0035
48,情緒神疲,15,0.0033
49,畏風,14,0.0031
50,耳鳴,14,0.0031
51,舌體形體點刺,14,0.0031
52,目乾,14,0.0031
53,呼吸哮鳴,14,0.0031
54,口苦,13,0.0028
55,食欲低落,13,0.0028
56,喉乾,12,0.0026
57,大便次多,12,0.0026
58,鼻衄,12,0.0026
59,痰色黃,12,0.0026
60,舌苔顏色黃,12,0.0026
61,舌苔形體部分剝落,11,0.0024
62,舌苔形狀花剝,11,0.0024
63,全身痛,10,0.0022
64,泛酸,10,0.0022
65,舌尖顏色紅,10,0.0022
66,咳痰,9,0.002
67,目花,9,0.002
68,四肢無力,8,0.0017
69,久咳,8,0.0017
70,嘔吐,8,0.0017
71,易醒,8,0.0017
72,涕量多,8,0.0017
73,大便質硬,7,0.0015
74,小便次多,7,0.0015
75,口臭,7,0.0015
76,大便質稀,6,0.0013
77,舌苔濕度乾,6,0.0013
78,多夢,6,0.0013
79,胸痛,6,0.0013
80,痰質濃,6,0.0013
81,脈力度大,6,0.0013
82,痰難咳出,6,0.0013
83,痰色白,5,0.0011
84,胃痛,5,0.0011
85,聲啞,5,0.0011
86,頸項僵,5,0.0011
87,咳時無痰,5,0.0011
88,舌苔厚度厚,5,0.0011
89,口不乾,5,0.0011
90,目眩,5,0.0011
91,目溢,5,0.0011
92,涕色白,5,0.0011
93,腰酸,5,0.0011
94,惡熱,5,0.0011
95,舌體顏色黑色,5,0.0011
96,喉腫,5,0.0011
