,標準症狀,次數,占比
0,鼻流涕,4557,0.071
1,舌苔顏色白,4519,0.0705
2,鼻塞,3609,0.0563
3,舌體顏色紅色,2430,0.0379
4,噴嚏,2425,0.0378
5,舌苔厚度薄,2425,0.0378
6,咳嗽,2280,0.0355
7,脈寬度細,2099,0.0327
8,脈長度長,1890,0.0295
9,痰量多,1822,0.0284
10,口乾,1802,0.0281
11,目癢,1607,0.0251
12,舌體顏色深紅色,1399,0.0218
13,頭暈,1257,0.0196
14,頭痛,1232,0.0192
15,舌體顏色淡白色,1156,0.018
16,鼻癢,1137,0.0177
17,舌體顏色淡紅色,1129,0.0176
18,脈部位浮,1112,0.0173
19,脈緊度緊,1064,0.0166
20,脈利度滑,976,0.0152
21,舌體形體齒痕,930,0.0145
22,胸悶,917,0.0143
23,脈速度快,849,0.0132
24,難眠,835,0.013
25,腹脹,831,0.013
26,喉癢,827,0.0129
27,脈力度弱,799,0.0125
28,多夢,797,0.0124
29,舌苔厚度厚,757,0.0118
30,心悸,736,0.0115
31,情緒神疲,736,0.0115
32,全身浮腫,660,0.0103
33,脈緊度散,595,0.0093
34,脈部位沉,515,0.008
35,痰色白,493,0.0077
36,易醒,429,0.0067
37,大便質稀,411,0.0064
38,呼吸急促,398,0.0062
39,食欲低落,397,0.0062
40,喉腫,366,0.0057
41,腹痛,365,0.0057
42,大便質硬,333,0.0052
43,腰酸,296,0.0046
44,畏寒,296,0.0046
45,全身痛,287,0.0045
46,夜咳,268,0.0042
47,自汗,250,0.0039
48,喉乾,246,0.0038
49,舌苔形狀花剝,224,0.0035
50,喉痛,217,0.0034
51,嗜睡,215,0.0034
52,面色紅,215,0.0034
53,涕色清,201,0.0031
54,痰色黃,192,0.003
55,大便次少,186,0.0029
56,脈速度慢,185,0.0029
57,舌苔濕度乾,185,0.0029
58,背酸,175,0.0027
59,意識健忘,166,0.0026
60,涕量多,165,0.0026
61,口渴,163,0.0025
62,皮膚癢,158,0.0025
63,咽喉卡痰,157,0.0024
64,涕色白,151,0.0024
65,舌苔顏色黃,150,0.0023
66,發熱,146,0.0023
67,目乾,144,0.0022
68,咳時無痰,139,0.0022
69,泛酸,139,0.0022
70,惡熱,134,0.0021
71,四肢冷,133,0.0021
72,四肢無力,132,0.0021
73,舌體形體點刺,129,0.002
74,大便次多,126,0.002
75,鼻衄,123,0.0019
76,目花,123,0.0019
77,心痛,122,0.0019
78,口不乾,121,0.0019
79,口臭,120,0.0019
80,頸項僵,114,0.0018
81,脈力度大,114,0.0018
82,渴喜冷飲,108,0.0017
83,打鼾,105,0.0016
84,背痛,104,0.0016
85,情緒煩躁,104,0.0016
86,脈力度強,99,0.0015
87,嘔吐,98,0.0015
88,涕色黃,94,0.0015
89,舌尖顏色紅,91,0.0014
90,大便不暢,87,0.0014
91,情緒心慌,85,0.0013
92,腰痛,81,0.0013
93,口苦,79,0.0012
94,目紅,78,0.0012
95,小便次多,76,0.0012
96,咽阻,74,0.0012
97,目暗,68,0.0011
