,標準症狀,次數,占比
0,咳嗽,178,0.104
1,痰量多,153,0.0894
2,脈部位浮,148,0.0864
3,舌體顏色深紅色,134,0.0783
4,舌體顏色紅色,129,0.0754
5,舌苔顏色白,126,0.0736
6,鼻塞,118,0.0689
7,脈速度快,108,0.0631
8,喉痛,79,0.0461
9,發熱,55,0.0321
10,咳痰,52,0.0304
11,口乾,43,0.0251
12,頭痛,39,0.0228
13,脈寬度細,37,0.0216
14,舌苔厚度薄,34,0.0199
15,鼻流涕,32,0.0187
16,脈利度滑,16,0.0093
17,頭暈,16,0.0093
18,脈長度長,15,0.0088
19,咳時無痰,15,0.0088
20,喉乾,14,0.0082
21,目眩,13,0.0076
22,喉癢,13,0.0076
23,脈緊度緊,9,0.0053
24,難眠,8,0.0047
25,舌體顏色淡白色,7,0.0041
26,胸痛,7,0.0041
27,舌體顏色淡紅色,6,0.0035
28,脈部位沉,6,0.0035
29,多夢,6,0.0035
30,舌苔質地黏膩,5,0.0029
31,胸悶,5,0.0029
32,口渴,5,0.0029
33,痰色白,4,0.0023
34,舌苔顏色黃,4,0.0023
35,痰色黃,4,0.0023
36,畏寒,4,0.0023
37,胃痛,3,0.0018
38,聲啞,3,0.0018
39,情緒煩躁,3,0.0018
40,口苦,3,0.0018
41,脈速度慢,3,0.0018
42,大便次少,3,0.0018
43,目乾,3,0.0018
44,腰痛,3,0.0018
45,背酸,3,0.0018
46,舌苔濕度乾,3,0.0018
47,脈力度弱,3,0.0018
48,惡寒,3,0.0018
49,呼吸急促,3,0.0018
50,大便質稀,2,0.0012
51,大便次多,2,0.0012
52,脈緊度散,2,0.0012
53,目溢,2,0.0012
54,自汗,2,0.0012
55,目花,2,0.0012
56,目癢,2,0.0012
57,大汗,2,0.0012
58,痰難咳出,2,0.0012
59,全身痛,2,0.0012
60,鼻癢,2,0.0012
61,噴嚏,2,0.0012
62,喉腫,2,0.0012
